iter	Logloss	Accuracy
0	0.6106250585	0.8721907872
1	0.5453544469	0.8766338814
2	0.4953312077	0.8783351688
3	0.4557342826	0.8780997228
4	0.4268437925	0.878373144
5	0.3956196286	0.8785174496
6	0.3753233822	0.8791630274
7	0.3603877243	0.8792693578
8	0.348628441	0.8794060684
9	0.336506002	0.8797858201
10	0.3263865703	0.879778225
11	0.3189884423	0.8800212661
12	0.3119802981	0.8803858277
13	0.3046111694	0.8808187445
14	0.298767563	0.8810162154
15	0.2946304798	0.8814111571
16	0.2909635823	0.8815022975
17	0.2873949411	0.8818820491
18	0.2841742371	0.8823757263
19	0.2803360062	0.8824592716
20	0.2768249624	0.8827326928
21	0.2742365685	0.8829073786
22	0.2726092384	0.8832111799
23	0.2709157563	0.8833251054
24	0.2686000543	0.8834466259
25	0.2676764439	0.8835453613
26	0.2664739885	0.883689667
27	0.2652572705	0.8840086583
28	0.2644842416	0.8839554931
29	0.2635649907	0.8843656249
30	0.2624572968	0.8846846163
31	0.2618976422	0.8848137318
32	0.2612361361	0.884851707
33	0.2601213219	0.8848061368
34	0.2596016726	0.8849960126
35	0.2586653371	0.8851555083
36	0.2582089028	0.8852466487
37	0.2575883629	0.885315004
38	0.2571347847	0.8856415904
39	0.2563381264	0.8856415904
40	0.2559823061	0.8857934911
41	0.2557439015	0.8860593172
42	0.2553933374	0.8860972924
43	0.2548499185	0.8862947632
44	0.2545352276	0.8863327384
45	0.2543670964	0.886484639
46	0.2539087864	0.8866517298
47	0.2535511952	0.8866593248
48	0.2533372321	0.8866137546
49	0.2531037452	0.8867200851
50	0.2529167183	0.8868416056
51	0.2527231079	0.8868492006
52	0.2524293737	0.886932746
53	0.2522290244	0.8870238864
54	0.2520522437	0.8870770516
55	0.2518677976	0.8872213572
56	0.2517337903	0.887168192
57	0.251578212	0.8871833821
58	0.2512561897	0.887168192
59	0.2510891616	0.8872213572
60	0.2509379151	0.8871909771
61	0.2506625738	0.8872745225
62	0.2504205265	0.887403638
63	0.2502745495	0.8874492082
64	0.2500957338	0.8876162989
65	0.2499675997	0.8876466791
66	0.2497373346	0.8877074393
67	0.2496530773	0.8877302244
68	0.2495660142	0.8877454145
69	0.2493655311	0.8878365549
70	0.249237482	0.8877226294
71	0.2491064768	0.8877074393
72	0.2489759597	0.8877757946
73	0.2488612651	0.8877226294
74	0.2487911544	0.8878745301
75	0.2486722284	0.8879428854
76	0.2484887306	0.8880188357
77	0.2483748674	0.888102381
78	0.248231076	0.888102381
79	0.248153946	0.8881175711
80	0.2480667286	0.888094786
81	0.2479999386	0.8881707363
82	0.2479277587	0.8881251661
83	0.2478561685	0.8881631413
84	0.2477426519	0.8882922569
85	0.247648062	0.8882618767
86	0.2475903873	0.8883985873
87	0.2475033925	0.8883682072
88	0.2473736267	0.8884061824
89	0.2472870144	0.8883758022
90	0.2472185817	0.8884745377
91	0.2471621737	0.888315042
92	0.2470887719	0.8884821327
93	0.2470239992	0.8884441575
94	0.2469417034	0.8884517526
95	0.2468894991	0.8886036532
96	0.2468225315	0.8886264383
97	0.2467239791	0.8886796035
98	0.2466197988	0.8886492234
99	0.2465574391	0.8886947936
100	0.2464841941	0.8887175787
101	0.2464025091	0.8888390992
102	0.2463577744	0.8888694794
103	0.2462736547	0.8888922645
104	0.2462067105	0.8888542893
105	0.2461281256	0.8888542893
106	0.2460849927	0.8889378347
107	0.2460156297	0.8889150496
108	0.2459478813	0.8889378347
109	0.2458995121	0.8889454297
110	0.2457300558	0.8889378347
111	0.2456882686	0.8889302396
112	0.2456209168	0.8888846694
113	0.2455701545	0.8889606198
114	0.2454890103	0.8889834049
115	0.2454237893	0.8890821403
116	0.2453296599	0.8891808757
117	0.2452946267	0.8892036608
118	0.2452332027	0.8893251813
119	0.2451781938	0.8893403714
120	0.2451312376	0.8893403714
121	0.2449465049	0.8894163217
122	0.2448732531	0.8893631565
123	0.2448052317	0.8896061975
124	0.2447503839	0.8895758174
125	0.244706415	0.8895530323
126	0.2446443354	0.8894315118
127	0.2445551693	0.8894922721
128	0.2445020028	0.8895226522
129	0.2444534672	0.889477082
130	0.2444181259	0.8895454373
131	0.2443468755	0.8896061975
132	0.2443064951	0.889704933
133	0.2442720182	0.8896897429
134	0.2442148136	0.8896897429
135	0.2441866467	0.8897656932
136	0.2441116115	0.8897277181
137	0.2440350686	0.889720123
138	0.2439995476	0.889720123
139	0.2439688399	0.8897960734
140	0.2439175782	0.8897732883
141	0.2438795338	0.8898568336
142	0.2438388755	0.8899251889
143	0.2437982537	0.889947974
144	0.2437603695	0.889940379
145	0.2437149166	0.8899251889
146	0.2436578712	0.8900239244
147	0.2436129693	0.8900011393
148	0.2435079622	0.8899707591
149	0.2434678679	0.8900163293
150	0.243423338	0.8900467095
151	0.2433359143	0.8900846846
152	0.243294097	0.8901302548
153	0.243241791	0.8902365853
154	0.2431765612	0.8903201306
155	0.2431318784	0.8903429157
156	0.2430679364	0.8904340561
157	0.2430396921	0.8904492462
158	0.2429941481	0.8904340561
159	0.2429208355	0.8904568412
160	0.2428388328	0.8904948164
161	0.2427861516	0.8905555767
162	0.2427420711	0.8905631717
163	0.2426657004	0.8905783618
164	0.242568173	0.8905327916
165	0.2425261144	0.890646717
166	0.2424631201	0.8906087419
167	0.2424204506	0.8907302624
168	0.242374595	0.8908365929
169	0.2423402919	0.8908062127
170	0.2423063024	0.8907758326
171	0.2421844088	0.8908138078
172	0.2421431103	0.8908517829
173	0.2420966998	0.8908821631
174	0.2420661322	0.890874568
175	0.2420220715	0.8908365929
176	0.2419567957	0.8908214028
177	0.2419163513	0.890859378
178	0.2418860729	0.8908973531
179	0.2418600379	0.8909353283
180	0.2418184254	0.8909049482
181	0.2417796524	0.8909353283
182	0.2417240055	0.8909429233
183	0.2416806689	0.8909505184
184	0.2415956097	0.8909581134
185	0.2415422773	0.8910568488
186	0.241490943	0.8910112786
187	0.2414432723	0.891102419
188	0.2413756557	0.8910644439
189	0.2413305406	0.8910796339
190	0.2413012808	0.891087229
191	0.2412313448	0.8911252041
192	0.2411777065	0.8912391296
193	0.2411289388	0.8912239395
194	0.2410938243	0.8912239395
195	0.2410455615	0.8912315346
196	0.241012329	0.8912163445
197	0.2409598579	0.8912619147
198	0.2409280614	0.8912846998
199	0.2408789463	0.8914441955
200	0.2408369506	0.8914517905
201	0.2407918804	0.8914138154
202	0.2407535874	0.8915049558
