iter	Passed	Remaining
0	34	34232
1	61	30830
2	85	28569
3	115	28882
4	134	26815
5	152	25326
6	169	24080
7	195	24289
8	223	24599
9	260	25813
10	315	28359
11	345	28455
12	382	29002
13	418	29485
14	447	29400
15	478	29445
16	509	29439
17	537	29347
18	565	29218
19	593	29085
20	617	28807
21	647	28783
22	678	28817
23	703	28611
24	728	28392
25	753	28243
26	780	28127
27	805	27958
28	826	27689
29	840	27177
30	858	26832
31	876	26506
32	893	26173
33	907	25786
34	922	25431
35	941	25200
36	955	24866
37	974	24669
38	988	24358
39	1007	24191
40	1021	23885
41	1041	23752
42	1055	23501
43	1074	23336
44	1087	23086
45	1108	22993
46	1128	22880
47	1145	22728
48	1164	22603
49	1182	22465
50	1196	22267
51	1214	22145
52	1228	21953
53	1244	21805
54	1259	21646
55	1277	21530
56	1290	21354
57	1315	21368
58	1347	21487
59	1376	21565
60	1404	21620
61	1432	21673
62	1459	21710
63	1489	21778
64	1516	21815
65	1546	21880
66	1574	21923
67	1603	21972
68	1632	22032
69	1661	22072
70	1686	22069
71	1713	22082
72	1738	22077
73	1756	21980
74	1781	21976
75	1798	21867
76	1821	21839
77	1844	21805
78	1862	21708
79	1883	21659
80	1897	21527
81	1918	21479
82	1933	21365
83	1954	21309
84	1972	21230
85	1988	21137
86	2007	21069
87	2023	20972
88	2038	20868
89	2058	20811
90	2081	20793
91	2095	20679
92	2110	20583
93	2131	20545
94	2145	20441
95	2166	20401
96	2183	20325
97	2202	20272
98	2220	20209
99	2238	20143
100	2262	20135
101	2290	20167
102	2320	20207
103	2350	20252
104	2373	20232
105	2402	20264
106	2434	20318
107	2467	20378
108	2503	20460
109	2534	20505
110	2562	20526
111	2596	20585
112	2624	20598
113	2657	20652
114	2682	20640
115	2704	20609
116	2726	20573
117	2749	20553
118	2773	20529
119	2796	20508
120	2817	20466
121	2840	20440
122	2864	20425
123	2891	20427
124	2924	20471
125	2951	20476
126	2983	20511
127	3008	20496
128	3033	20484
129	3057	20464
130	3081	20443
131	3105	20417
132	3127	20388
133	3156	20396
134	3181	20386
135	3212	20410
136	3232	20362
137	3254	20326
138	3271	20263
139	3289	20206
140	3303	20128
141	3319	20055
142	3333	19980
143	3351	19922
144	3374	19897
145	3395	19859
146	3418	19838
147	3442	19816
148	3468	19809
149	3498	19822
150	3534	19875
151	3572	19932
152	3590	19877
153	3607	19820
154	3625	19765
155	3648	19737
156	3669	19704
157	3685	19639
158	3703	19586
159	3723	19546
160	3742	19503
161	3760	19454
162	3777	19399
163	3794	19340
164	3810	19285
165	3825	19218
166	3841	19160
167	3862	19126
168	3878	19072
169	3893	19011
170	3908	18947
171	3923	18886
172	3938	18826
173	3954	18771
174	3971	18721
175	3986	18664
176	4006	18630
177	4022	18575
178	4038	18524
179	4055	18473
180	4070	18416
181	4085	18360
182	4099	18301
183	4115	18251
184	4130	18194
185	4146	18144
186	4163	18103
187	4180	18057
188	4211	18071
189	4238	18067
190	4263	18060
191	4288	18045
192	4309	18019
193	4327	17977
194	4344	17936
195	4363	17897
196	4379	17853
197	4399	17821
198	4413	17765
199	4428	17712
200	4445	17669
201	4464	17635
202	4477	17580
203	4492	17529
204	4512	17501
205	4530	17460
